Filename                           Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
AVC1.cpp                                32                32     0.00%          30                30     0.00%         118               118     0.00%           2                 2     0.00%
AVCC-NALUnit.cpp                        19                19     0.00%          14                14     0.00%          62                62     0.00%           6                 6     0.00%
AVCC.cpp                                43                43     0.00%          31                31     0.00%         131               131     0.00%           8                 8     0.00%
BinaryDataStream.cpp                    36                14    61.11%          14                 7    50.00%          60                30    50.00%          14                 6    57.14%
BinaryFileStream.cpp                    39                 6    84.62%           7                 0   100.00%          72                18    75.00%          22                 8    63.64%
BinaryStream.cpp                        40                28    30.00%          24                14    41.67%         296               207    30.07%          10                 8    20.00%
Box.cpp                                 13                 7    46.15%          13                 7    46.15%          31                19    38.71%           0                 0         -
CDSC.cpp                                 9                 9     0.00%           9                 9     0.00%          21                21     0.00%           0                 0         -
COLR.cpp                                44                44     0.00%          23                23     0.00%         109               109     0.00%          22                22     0.00%
Container.cpp                           15                14     6.67%           5                 4    20.00%          42                41     2.38%          12                12     0.00%
ContainerBox.cpp                        38                15    60.53%          13                 6    53.85%          86                37    56.98%          22                10    54.55%
DIMG.cpp                                 9                 9     0.00%           9                 9     0.00%          21                21     0.00%           0                 0         -
DREF.cpp                                15                15     0.00%          13                13     0.00%          39                39     0.00%           2                 2     0.00%
DisplayableObject.cpp                   14                13     7.14%           5                 4    20.00%          36                35     2.78%          10                10     0.00%
DisplayableObjectContainer.cpp           5                 4    20.00%           2                 1    50.00%          15                14     6.67%           4                 4     0.00%
FRMA.cpp                                13                13     0.00%          13                13     0.00%          34                34     0.00%           0                 0         -
FTYP.cpp                                23                10    56.52%          18                 9    50.00%          63                34    46.03%           4                 1    75.00%
File.cpp                                10                 6    40.00%          10                 6    40.00%          24                20    16.67%           0                 0         -
FullBox.cpp                             15                 7    53.33%          15                 7    53.33%          44                24    45.45%           0                 0         -
HDLR.cpp                                25                16    36.00%          15                 8    46.67%          69                44    36.23%           8                 7    12.50%
HVC1.cpp                                32                32     0.00%          30                30     0.00%         118               118     0.00%           2                 2     0.00%
HVCC-Array-NALUnit.cpp                  19                14    26.32%          14                11    21.43%          62                49    20.97%           6                 5    16.67%
HVCC-Array.cpp                          26                17    34.62%          20                14    30.00%          67                45    32.84%           4                 2    50.00%
HVCC.cpp                                55                27    50.91%          49                26    46.94%         200               102    49.00%           4                 1    75.00%
IINF.cpp                                28                28     0.00%          16                16     0.00%          70                70     0.00%          12                12     0.00%
ILOC-Item-Extent.cpp                    48                48     0.00%          18                18     0.00%          87                87     0.00%          24                24     0.00%
ILOC-Item.cpp                           44                44     0.00%          24                24     0.00%         103               103     0.00%          16                16     0.00%
ILOC.cpp                                38                38     0.00%          24                24     0.00%         104               104     0.00%          12                12     0.00%
INFE.cpp                                52                52     0.00%          25                25     0.00%         129               129     0.00%          22                22     0.00%
IPCO.cpp                                16                16     0.00%           4                 4     0.00%          36                36     0.00%          10                10     0.00%
IPMA-Entry-Association.cpp              22                22     0.00%          16                16     0.00%          59                59     0.00%           4                 4     0.00%
IPMA-Entry.cpp                          24                24     0.00%          18                18     0.00%          64                64     0.00%           4                 4     0.00%
IPMA.cpp                                23                23     0.00%          16                16     0.00%          59                59     0.00%           6                 6     0.00%
IREF.cpp                                15                15     0.00%          13                13     0.00%          40                40     0.00%           2                 2     0.00%
IROT.cpp                                13                13     0.00%          13                13     0.00%          36                36     0.00%           0                 0         -
ISPE.cpp                                15                15     0.00%          15                15     0.00%          42                42     0.00%           0                 0         -
MDHD.cpp                                40                40     0.00%          31                31     0.00%         135               135     0.00%           6                 6     0.00%
META.cpp                                20                20     0.00%          13                13     0.00%          51                51     0.00%           6                 6     0.00%
MVHD.cpp                                30                15    50.00%          27                14    48.15%         115                60    47.83%           2                 1    50.00%
Matrix.cpp                              32                22    31.25%          32                22    31.25%         103                87    15.53%           0                 0         -
PITM.cpp                                16                16     0.00%          13                13     0.00%          41                41     0.00%           2                 2     0.00%
PIXI-Channel.cpp                        14                14     0.00%          14                14     0.00%          35                35     0.00%           0                 0         -
PIXI.cpp                                18                18     0.00%          15                15     0.00%          48                48     0.00%           2                 2     0.00%
Parser.cpp                             104                51    50.96%          64                42    34.38%         236                94    60.17%          32                15    53.12%
SCHM.cpp                                22                22     0.00%          17                17     0.00%          60                60     0.00%           4                 4     0.00%
STSD.cpp                                15                15     0.00%          13                13     0.00%          39                39     0.00%           2                 2     0.00%
STSS.cpp                                19                19     0.00%          13                13     0.00%          43                43     0.00%           4                 4     0.00%
STTS.cpp                                20                12    40.00%          14                 9    35.71%          49                36    26.53%           4                 2    50.00%
SingleItemTypeReferenceBox.cpp          29                29     0.00%          15                15     0.00%          66                66     0.00%          10                10     0.00%
THMB.cpp                                 9                 9     0.00%           9                 9     0.00%          21                21     0.00%           0                 0         -
TKHD.cpp                                34                34     0.00%          31                31     0.00%         125               125     0.00%           2                 2     0.00%
URL.cpp                                  9                 5    44.44%           9                 5    44.44%          21                17    19.05%           0                 0         -
URN.cpp                                  9                 5    44.44%           9                 5    44.44%          21                17    19.05%           0                 0         -
Utils.cpp                               12                12     0.00%           6                 6     0.00%          59                59     0.00%           6                 6     0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                 1379              1110    19.51%         943               785    16.76%        3917              3235    17.41%         356               290    18.54%
