Filename                           Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
AVC1.cpp                                32                32     0.00%          30                30     0.00%         118               118     0.00%           2                 2     0.00%
AVCC-NALUnit.cpp                        19                19     0.00%          14                14     0.00%          62                62     0.00%           6                 6     0.00%
AVCC.cpp                                43                43     0.00%          31                31     0.00%         131               131     0.00%           8                 8     0.00%
BinaryDataStream.cpp                    36                36     0.00%          14                14     0.00%          60                60     0.00%          14                14     0.00%
BinaryFileStream.cpp                    39                39     0.00%           7                 7     0.00%          72                72     0.00%          22                22     0.00%
BinaryStream.cpp                        40                40     0.00%          24                24     0.00%         296               296     0.00%          10                10     0.00%
Box.cpp                                 13                13     0.00%          13                13     0.00%          31                31     0.00%           0                 0         -
CDSC.cpp                                 9                 9     0.00%           9                 9     0.00%          21                21     0.00%           0                 0         -
COLR.cpp                                44                44     0.00%          23                23     0.00%         109               109     0.00%          22                22     0.00%
Container.cpp                           15                15     0.00%           5                 5     0.00%          42                42     0.00%          12                12     0.00%
ContainerBox.cpp                        38                38     0.00%          13                13     0.00%          86                86     0.00%          22                22     0.00%
DIMG.cpp                                 9                 9     0.00%           9                 9     0.00%          21                21     0.00%           0                 0         -
DREF.cpp                                15                15     0.00%          13                13     0.00%          39                39     0.00%           2                 2     0.00%
DisplayableObject.cpp                   14                14     0.00%           5                 5     0.00%          36                36     0.00%          10                10     0.00%
DisplayableObjectContainer.cpp           5                 5     0.00%           2                 2     0.00%          15                15     0.00%           4                 4     0.00%
FRMA.cpp                                13                13     0.00%          13                13     0.00%          34                34     0.00%           0                 0         -
FTYP.cpp                                23                23     0.00%          18                18     0.00%          63                63     0.00%           4                 4     0.00%
File.cpp                                10                10     0.00%          10                10     0.00%          24                24     0.00%           0                 0         -
FullBox.cpp                             15                15     0.00%          15                15     0.00%          44                44     0.00%           0                 0         -
HDLR.cpp                                25                25     0.00%          15                15     0.00%          69                69     0.00%           8                 8     0.00%
HVC1.cpp                                32                32     0.00%          30                30     0.00%         118               118     0.00%           2                 2     0.00%
HVCC-Array-NALUnit.cpp                  19                19     0.00%          14                14     0.00%          62                62     0.00%           6                 6     0.00%
HVCC-Array.cpp                          26                26     0.00%          20                20     0.00%          67                67     0.00%           4                 4     0.00%
HVCC.cpp                                55                55     0.00%          49                49     0.00%         200               200     0.00%           4                 4     0.00%
IINF.cpp                                28                28     0.00%          16                16     0.00%          70                70     0.00%          12                12     0.00%
ILOC-Item-Extent.cpp                    48                48     0.00%          18                18     0.00%          87                87     0.00%          24                24     0.00%
ILOC-Item.cpp                           44                44     0.00%          24                24     0.00%         103               103     0.00%          16                16     0.00%
ILOC.cpp                                38                38     0.00%          24                24     0.00%         104               104     0.00%          12                12     0.00%
INFE.cpp                                52                52     0.00%          25                25     0.00%         129               129     0.00%          22                22     0.00%
IPCO.cpp                                16                16     0.00%           4                 4     0.00%          36                36     0.00%          10                10     0.00%
IPMA-Entry-Association.cpp              22                22     0.00%          16                16     0.00%          59                59     0.00%           4                 4     0.00%
IPMA-Entry.cpp                          24                24     0.00%          18                18     0.00%          64                64     0.00%           4                 4     0.00%
IPMA.cpp                                23                23     0.00%          16                16     0.00%          59                59     0.00%           6                 6     0.00%
IREF.cpp                                15                15     0.00%          13                13     0.00%          40                40     0.00%           2                 2     0.00%
IROT.cpp                                13                13     0.00%          13                13     0.00%          36                36     0.00%           0                 0         -
ISPE.cpp                                15                15     0.00%          15                15     0.00%          42                42     0.00%           0                 0         -
MDHD.cpp                                40                40     0.00%          31                31     0.00%         135               135     0.00%           6                 6     0.00%
META.cpp                                20                20     0.00%          13                13     0.00%          51                51     0.00%           6                 6     0.00%
MVHD.cpp                                30                30     0.00%          27                27     0.00%         115               115     0.00%           2                 2     0.00%
Matrix.cpp                              32                32     0.00%          32                32     0.00%         103               103     0.00%           0                 0         -
PITM.cpp                                16                16     0.00%          13                13     0.00%          41                41     0.00%           2                 2     0.00%
PIXI-Channel.cpp                        14                14     0.00%          14                14     0.00%          35                35     0.00%           0                 0         -
PIXI.cpp                                18                18     0.00%          15                15     0.00%          48                48     0.00%           2                 2     0.00%
Parser.cpp                             104               104     0.00%          64                64     0.00%         236               236     0.00%          32                32     0.00%
SCHM.cpp                                22                22     0.00%          17                17     0.00%          60                60     0.00%           4                 4     0.00%
STSD.cpp                                15                15     0.00%          13                13     0.00%          39                39     0.00%           2                 2     0.00%
STSS.cpp                                19                19     0.00%          13                13     0.00%          43                43     0.00%           4                 4     0.00%
STTS.cpp                                20                20     0.00%          14                14     0.00%          49                49     0.00%           4                 4     0.00%
SingleItemTypeReferenceBox.cpp          29                29     0.00%          15                15     0.00%          66                66     0.00%          10                10     0.00%
THMB.cpp                                 9                 9     0.00%           9                 9     0.00%          21                21     0.00%           0                 0         -
TKHD.cpp                                34                34     0.00%          31                31     0.00%         125               125     0.00%           2                 2     0.00%
URL.cpp                                  9                 9     0.00%           9                 9     0.00%          21                21     0.00%           0                 0         -
URN.cpp                                  9                 9     0.00%           9                 9     0.00%          21                21     0.00%           0                 0         -
Utils.cpp                               12                12     0.00%           6                 6     0.00%          59                59     0.00%           6                 6     0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                 1379              1379     0.00%         943               943     0.00%        3917              3917     0.00%         356               356     0.00%
